time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,9.49828592089e-08,-9.24010066323e-08,10.004297486,6.28301478095,6.28300122101,0.0,1.22332839691e-05,-1.15529026207e-05,0.14324157688,-0.00923786695549,-0.0100456998161,0.0,451.20776726220873,450.3962390333249,450.39328416818904,449.6457193633488
0.12000000000000001,7.53778670249e-06,-7.07063303139e-06,10.0179550905,6.28215934825,6.28240985035,0.0,0.000302833499203,-0.000297210632076,0.311980186523,-0.0268929367245,-0.00947979989927,0.0,457.9349345181921,457.98006598896296,459.1991807835966,457.79685160260516
0.18,4.8208970212e-05,-5.92101283283e-05,10.0450667391,6.2807143552,6.28131897984,0.0,0.00114372412126,-0.00163665512236,0.591638254557,-0.0189854640314,-0.0478508902985,0.0,492.07577598725345,489.2274305978259,490.54266949230583,491.12939383547626
0.23999999999999996,0.000167955036154,-0.000214562645795,10.0841951039,6.2794814078,6.27832300443,0.0,0.00315559560342,-0.0036660264141,0.712571215763,-0.0238754054602,-0.0544593625972,0.0,444.3924731649208,443.8489429501972,443.8307138268903,443.42926883062125
0.3,0.000472221399473,-0.000518040003377,10.1303215714,6.27770567218,6.27511361531,0.0,0.00732239169847,-0.00661241202197,0.824900189269,-0.0446193843264,-0.0516187056559,0.0,440.61330771331427,440.8461422102344,442.8001321255601,441.0902118328168
0.36000000000000004,0.00107036306221,-0.00102463288962,10.1805280845,6.27476367628,6.27205167039,0.0,0.0128948462841,-0.0105270266139,0.848628531141,-0.059770374333,-0.0498852984172,0.0,413.00282058567507,413.1537784755717,413.01538354810685,411.6753365570848
0.4200000000000001,0.00210246402616,-0.00185731144972,10.2359264262,6.27074144125,6.26937045569,0.0,0.0218154341293,-0.0176361132278,0.997856331103,-0.0883836805832,-0.0359185972685,0.0,451.5209449747925,452.64500739838763,455.1120968247777,452.8128110967432
0.48000000000000015,0.00373787369721,-0.00322392106795,10.3011165443,6.26502318132,6.26675653272,0.0,0.0329572866452,-0.0285335133426,1.17496925265,-0.115063801881,-0.0667991754713,0.0,462.8088523911077,460.37093099580534,463.0177436172021,460.9064473222317
0.5400000000000001,0.00611854150934,-0.00539223128855,10.3774330938,6.25766561646,6.26272584521,0.0,0.0468604137887,-0.0445565052428,1.3686782151,-0.145398065317,-0.0679466115222,0.0,466.7693403159339,466.6766533895995,468.7493240195881,466.37282897328123
0.6000000000000002,0.00942848975347,-0.00870165123286,10.4653701929,6.24965015609,6.25838024914,0.0,0.0639516655486,-0.0667122157195,1.56227487003,-0.116809195547,-0.0833608624029,0.0,468.4433897457321,467.2394605463219,466.31327750391324,468.52491096043207
0.6600000000000003,0.0138852669917,-0.0135428763924,10.5655104498,6.24261528023,6.25328692467,0.0,0.0851989741131,-0.095484321427,1.77537919727,-0.118139304253,-0.0881321039096,0.0,474.14561688033785,473.7735143724683,474.1017423850646,473.98815363602745
0.7200000000000003,0.0197482886418,-0.0202904659105,10.6787050083,6.23620151603,6.24864074653,0.0,0.110813503935,-0.130222179141,1.99735486024,-0.0906999331284,-0.0618233315444,0.0,476.9337798647143,478.9341919511132,475.71294705038804,477.79965963220775
0.7800000000000004,0.0269814068212,-0.0288988400288,10.7974473377,6.23112227909,6.24467774244,0.0,0.130605000918,-0.157154729542,1.9607501906,-0.074701978737,-0.0762277078427,0.0,396.798725193185,395.470296833349,394.4985525903833,395.9659408263892
0.8400000000000004,0.0357206948269,-0.0395407877898,10.9203365871,6.22659145271,6.2399119145,0.0,0.161219176615,-0.198068677246,2.13519330172,-0.077187902448,-0.0867552341281,0.0,463.87510215528704,463.0428851711705,464.8487864987325,464.6497376881943
0.9000000000000005,0.046421592668,-0.0527595318852,11.0539897498,6.22188645422,6.23520271192,0.0,0.19602486552,-0.243068565719,2.31949055518,-0.0809932622316,-0.0656649694809,0.0,466.52157379565637,468.1605697482856,468.4627206136559,468.16217231698226
0.9600000000000005,0.059205130949,-0.0686477253021,11.1964351262,6.2171415061,6.23142528316,0.0,0.230479721938,-0.287018834313,2.42840137704,-0.0755133655588,-0.058029703052,0.0,445.0470585893002,445.6686555643074,445.74532860293255,446.1879163425835
1.0200000000000005,0.0741659114017,-0.08731251713,11.3460226924,6.2125064039,6.22789694787,0.0,0.268569854661,-0.335608185386,2.5575039499,-0.0809747681111,-0.0604036397308,0.0,452.01895635600965,451.8252572738003,453.4210825780285,452.97750035332956
1.0800000000000005,0.0915402019486,-0.109059738332,11.5042684618,6.20716279485,6.22448595591,0.0,0.310940112446,-0.389826461093,2.71690928966,-0.114683660963,-0.0505535695542,0.0,462.2059737806812,462.9794904864477,463.86497891125117,461.20341072462617
1.1400000000000006,0.111630742222,-0.134318669862,11.6737427126,6.19991196496,6.22102217515,0.0,0.359089826424,-0.452930561682,2.9315934193,-0.137495626844,-0.078654024851,0.0,481.0703202943315,478.93554699327507,480.7257812189436,478.9817386278137
1.2000000000000006,0.134451944093,-0.163209701732,11.8521408643,6.19199178142,6.21590085985,0.0,0.402085701207,-0.510885131307,3.01466803611,-0.122822711156,-0.104172788098,0.0,441.6591166166047,439.5429093365876,441.26461980327787,442.45795517343294
1.2600000000000007,0.160214052232,-0.196074501196,12.0391714569,6.18505616595,6.20912118901,0.0,0.457361713611,-0.585387531119,3.21896163971,-0.104075833493,-0.143504905494,0.0,480.04799161747235,477.04264953529,478.6607840802099,480.0742385447861
